254	91	80
253	253	253
28	200	217
22	111	207
38	200	216
32	205	217
14	194	220
24	24	39
252	44	192
253	253	253
252	45	188
14	102	205
32	25	44
250	56	186
26	113	211
49	195	226
18	102	204
30	24	35
253	253	253
254	71	76
254	58	70
252	34	193
71	214	70
252	38	188
252	54	191
29	26	36
28	186	214
21	193	207
253	65	60
254	253	253
254	254	12
39	187	218
253	51	71
72	207	60
254	254	253
23	20	30
253	254	253
10	104	187
20	19	26
24	188	216
17	98	204
251	62	195
253	48	197
19	17	20
37	93	214
254	254	254
253	253	253
28	191	217
62	209	41
22	22	32
253	62	59
253	253	7
253	66	62
253	253	253
25	194	217
253	52	69
252	59	64
27	187	217
250	47	183
253	66	64
253	253	10
253	253	10
253	253	253
251	45	183
81	202	48
254	41	58
22	88	203
25	206	64
21	97	217
31	195	221
23	22	29
31	28	36
251	32	185
253	253	13
253	72	48
253	253	253
78	210	48
249	43	182
25	21	28
23	100	190
26	23	29
253	253	253
251	40	185
27	25	29
253	253	253
253	56	54
253	253	7
19	190	201
15	192	201
253	254	5
250	51	187
52	208	70
252	44	190
19	99	197
26	191	210
253	50	63
24	21	26
26	23	30
79	208	48
70	204	49
59	208	47
21	188	209
253	253	253
19	96	187
18	100	192
74	209	42
253	253	253
54	206	46
18	98	199
25	191	203
253	253	253
57	210	40
254	41	54
52	208	46
21	114	208
16	105	210
252	44	70
22	99	196
253	253	253
20	107	196
60	204	46
13	99	185
20	109	197
52	203	60
253	253	21
21	103	193
22	92	197
253	253	253
250	57	190
250	58	186
65	209	69
253	253	253
23	188	207
252	43	191
21	19	24
253	253	253
249	253	254
16	108	210
251	42	183
253	253	253
253	253	16
80	211	60
7	189	201
19	193	198
14	189	212
23	189	210
250	54	180
253	253	253
16	97	203
37	203	41
29	192	207
253	253	9
69	203	53
27	194	208
57	207	59
253	253	253
251	27	188
19	94	208
8	187	217
21	18	30
12	111	206
253	253	13
21	111	198
253	253	12
29	103	192
22	21	27
249	28	183
62	206	48
249	42	183
7	191	212
253	253	253
50	206	40
24	25	33
50	205	41
20	20	25
22	97	194
16	89	195
17	187	206
58	205	56
18	191	206
10	97	210
253	253	254
254	253	4
25	111	208
28	197	216
251	43	184
253	253	8
253	253	11
26	24	30
253	77	51
251	47	187
76	207	46
26	193	215
253	253	253
251	45	187
22	20	25
250	46	182
253	253	8
253	253	253
253	253	253
63	211	38
20	18	23
253	253	8
253	254	253
253	55	69
25	22	30
30	21	36
20	109	203
251	42	186
41	106	200
31	196	213
251	49	177
44	192	205
251	32	191
251	34	189
252	48	74
253	253	8
20	186	215
253	253	8
254	58	50
253	253	8
253	253	253
22	98	211
253	55	53
252	46	63
13	104	206
33	31	34
21	101	197
253	42	66
253	50	68
251	36	188
253	253	253
23	22	30
71	208	56
24	188	204
31	100	203
30	188	209
23	94	203
18	186	214
251	43	181
253	52	60
60	200	43
22	19	23
253	253	6
253	253	253
15	87	204
25	24	27
253	253	7
253	67	58
254	50	44
45	208	46
26	24	32
253	253	253
26	21	29
251	45	67
24	21	28
253	58	59
253	253	253
250	44	185
250	35	181
83	209	43
31	188	219
253	41	55
251	35	178
78	207	33
253	253	253
251	37	184
253	52	52
34	187	207
63	209	34
252	56	189
26	192	211
21	193	206
252	42	190
24	19	28
51	208	62
253	253	253
252	49	184
253	253	9
253	253	6
24	101	203
21	192	195
23	21	27
253	253	7
253	253	253
253	253	11
253	39	44
22	20	26
34	192	204
26	188	198
251	53	190
52	203	40
253	253	10
250	50	183
16	190	202
22	21	27
253	253	254
252	254	8
19	112	198
24	24	34
253	45	59
254	45	57
26	23	28
24	186	202
253	62	41
34	93	196
253	55	58
253	253	9
29	96	204
27	185	209
252	56	53
253	253	253
253	63	48
68	208	44
253	47	47
23	192	207
251	47	184
78	213	38
23	193	211
18	17	20
18	111	194
253	253	253
253	253	16
70	212	44
253	253	253
253	253	9
56	208	48
253	58	40
37	95	197
26	22	27
253	253	8
91	207	41
253	50	45
18	187	213
32	90	197
25	90	199
38	191	210
253	53	50
253	253	9
15	91	207
253	52	45
19	20	24
253	52	59
39	193	219
252	35	184
51	210	50
49	207	53
253	253	253
253	71	59
29	193	213
69	212	29
67	205	47
36	194	213
75	207	38
250	47	185
17	187	204
253	55	56
252	50	42
75	206	43
32	193	210
17	96	211
20	194	210
254	254	8
23	22	29
17	15	26
254	254	9
65	210	51
34	189	223
76	212	55
48	195	223
251	53	190
27	92	196
253	253	253
36	195	212
253	67	57
253	60	52
252	48	185
251	44	184
253	253	12
253	253	253
84	207	39
25	22	31
36	191	214
253	63	52
253	253	6
254	253	253
5	101	210
37	190	213
252	37	188
253	253	8
253	45	72
24	23	31
253	253	12
26	21	28
253	49	50
80	207	46
253	253	5
30	190	216
253	253	8
253	51	60
20	18	23
50	205	42
253	67	59
253	253	6
253	253	253
78	207	33
253	54	51
21	21	26
33	188	207
66	209	39
254	254	3
13	103	197
17	185	206
253	253	253
43	192	223
253	49	73
21	20	24
253	253	8
252	46	182
253	253	253
22	184	208
51	208	50
27	188	214
21	17	25
253	253	253
253	253	9
18	90	197
253	253	11
253	253	10
251	51	183
52	209	34
254	253	10
13	190	195
25	194	195
18	107	196
248	48	188
29	23	37
23	23	27
26	186	216
24	22	29
253	253	16
253	53	49
14	191	203
43	205	42
253	253	253
31	84	201
251	43	191
252	43	56
250	57	189
103	212	45
28	192	201
251	51	189
23	19	23
19	23	28
50	203	53
15	96	200
23	17	26
18	191	206
251	34	186
60	208	47
21	20	27
16	99	185
22	20	29
251	50	186
253	254	8
253	254	8
74	211	43
73	209	59
253	254	254
254	253	253
41	190	218
253	253	253
253	253	10
253	253	9
253	43	64
253	29	55
14	95	205
22	86	205
22	23	27
47	208	49
252	40	59
253	253	253
251	41	186
50	201	223
254	253	8
17	188	211
254	253	253
254	37	55
254	53	48
15	188	206
251	49	186
253	43	53
20	191	209
253	253	253
254	253	253
253	253	8
254	253	5
19	95	206
25	95	207
250	39	177
251	38	187
253	253	6
3	100	196
254	254	254
10	112	192
25	192	215
15	100	205
16	93	197
253	253	253
33	106	200
16	189	190
16	95	191
253	253	253
252	33	178
69	209	45
253	253	253
253	253	18
55	208	34
253	253	10
55	210	31
16	96	202
21	100	207
25	25	31
36	209	33
253	253	7
18	17	21
26	22	31
250	249	5
22	16	28
