2,152,148,89,47,26,17,82,74,48,1
1,30,8,143,169,109,167,80,178,66,63
1,84,165,79,46,49,86,135,85,69,34
1,103,129,158,173,13,147,23,33,55,54
1,1,45,107,82,96,136,119,7,48,152
1,44,19,52,86,108,79,87,71,134,88
2,49,19,62,88,85,43,77,78,79,146
2,44,120,94,81,96,119,73,45,74,136
2,50,101,21,76,102,8,110,105,140,53
3,116,107,112,88,55,85,87,149,60,176
3,70,92,126,44,159,130,128,93,99,150
3,1,45,107,119,96,81,136,44,48,34
4,96,73,152,89,94,45,34,113,1,82
4,130,10,20,41,102,149,70,99,75,28
4,91,129,98,158,58,167,2,37,172,103
5,34,119,81,94,3,82,139,48,166,1
5,55,12,165,40,49,144,97,2,86,111
5,50,35,95,31,103,60,66,101,93,8
6,10,149,102,83,44,125,41,112,93,38
6,112,149,87,60,107,128,132,85,64,179
6,38,161,61,119,34,44,83,48,113,57
7,22,32,33,124,157,67,77,66,45,32
7,17,113,73,3,89,166,16,45,22,23
7,126,24,15,161,25,4,74,23,132,153
8,153,23,15,73,25,24,161,4,33,35
8,167,105,30,111,178,8,80,109,66,33
8,69,43,19,11,16,144,105,137,52,66
8,119,57,139,82,5,44,7,94,155,45
8,113,89,166,3,17,91,127,55,44,33
9,149,36,10,130,156,66,56,12,22,22
9,139,3,119,152,45,107,48,17,73,16
9,173,76,39,41,122,70,159,93,38,43
9,159,18,10,173,128,103,93,129,133,130
9,33,124,32,22,157,12,12,11,21,43
10,112,116,87,95,56,149,64,8,22,32
10,24,23,45,70,22,147,73,4,25,161
10,165,163,137,84,134,34,168,19,0,71
11,82,3,113,5,148,166,94,47,44,81
11,134,79,40,98,19,162,165,144,116,137
11,33,124,22,32,157,33,34,12,22,25
12,149,30,72,171,18,82,58,133,113,83
12,54,32,21,100,137,108,31,27,72,35
12,79,137,174,71,52,69,175,165,55,98
13,153,99,156,4,102,41,20,148,139,94
13,84,88,168,108,71,162,62,85,77,134
13,8,114,167,13,179,30,65,2,80,127
14,136,17,7,26,113,139,44,94,46,119
14,129,44,79,18,58,90,97,133,75,159
14,37,98,36,129,127,91,58,2,97,172
15,87,95,112,107,128,132,154,64,88,116
15,2,68,93,26,110,75,11,139,109,118
15,48,68,119,139,46,152,61,45,89,73
16,89,3,61,17,166,113,16,73,22,23
16,41,150,122,93,38,11,102,30,39,111
16,85,107,60,176,112,21,32,25,123,23
17,50,59,4,1,32,2,55,55,43,16
17,73,44,166,136,94,17,83,48,45,81
17,22,26,132,25,23,4,23,12,21,43
17,55,168,164,40,174,69,32,12,12,32
18,77,162,19,43,98,12,111,14,137,62
18,16,3,17,166,113,73,89,22,23,23
18,35,115,7,53,61,95,108,122,34,53
19,44,68,3,89,83,119,73,82,113,5
19,62,163,88,43,134,19,64,165,79,77
19,30,63,8,76,126,169,114,105,121,111
20,103,99,96,41,122,70,128,28,156,90
20,51,42,53,117,101,69,9,123,29,35
21,11,126,39,93,38,28,92,18,156,102
21,152,83,16,17,155,45,5,81,139,3
21,110,59,151,160,51,50,115,55,123,23
22,1,17,139,152,74,73,96,48,3,81
22,25,74,126,153,73,24,4,161,23,15
23,75,44,151,107,110,20,79,97,130,10
23,44,45,107,136,81,38,139,119,155,48
23,163,137,162,12,106,52,34,49,98,12
24,4,25,24,15,47,153,161,23,132,73
24,1,83,148,48,3,96,57,82,34,61
24,19,55,64,14,39,57,12,34,61,85
24,41,90,92,102,24,96,14,39,99,11
25,119,155,16,46,61,81,94,113,152,139
25,57,83,130,173,103,93,75,90,18,44
25,79,39,19,40,168,174,162,111,52,106
26,139,5,48,3,152,155,34,96,1,81
26,116,107,56,60,170,85,87,112,176,154
26,99,149,126,68,147,28,70,39,24,44
