70	45	4	4530	33030	30	4509	455	45
67	30	3	45455	564	30	4560	455	30
57	45	30	45304	30645	45	45445	456	30
64	45	4	45308	3063	30	4505	456	45
74	30	30	45300	3069	30	453045	457	45
65	45	4	45300	4577	45	4540	457	30
56	45	3	4530	3056	30	45430	458	45
59	45	4	45450	3039	30	45430	458	45
60	45	4	4540	3093	30	4570	459	30
63	30	4	4550	407	30	4554	459	45
59	45	4	4535	3034	30	45645	459	30
53	45	4	45430	30306	30	454545	459	30
44	45	3	4540	3035	30	4580	300	30
645	45	45	4534	3034	45	4545	300	30
57	30	4	45308	303	30	4559	300	45
745	30	4	454530	4549	45	45305	300	30
46	45	4	4540	34545	45	45300	3045	30
53	45	4	4540	3003	30	4555	3045	30
64	45	45	45450	304545	30	4544	303	30
40	45	45	4540	4599	45	4578	303	30
67	45	4	45300	30309	30	45309	304	30
48	45	30	4530	3045	30	4580	304	30
43	45	4	45455	303	45	45845	305	30
47	45	4	454530	3004	45	4543	305	30
54	30	30	45330	3088	30	4559	308	45
48	30	3	4530	3075	45	4539	308	30
46	30	4	4538	3043	30	45530	308	30
545	30	3	45300	3095	30	4557	308	30
58	45	3	454530	3030	30	4565	309	45
745	30	3	45450	3065	30	4530	309	45
57	45	3	45308	30309	30	4550	30	45
66	45	4	4560	30308	30	4538	30	30
37	30	3	45300	30455	30	4570	33	30
59	45	4	4570	3306	30	4540	33	30
50	45	4	4544	3000	30	45306	33	30
48	45	4	4530	3056	30	4550	33	30
645	45	4	4540	3007	30	4538	34	45
59	45	45	4560	3073	30	45305	34	30
430	45	3	4530	4580	30	4550	37	30
48	45	4	453030	303030	30	4586	37	30
40	45	4	45530	30303	30	45845	38	30
630	30	4	45304	3009	30	4563	38	30
44	45	3	4530	3033	30	4579	39	30
46	45	30	45045	4597	30	4556	39	30
59	45	3	45306	30458	30	4534	39	45
58	45	3	4540	304545	30	4565	39	30
49	45	3	45458	4549	45	45306	40	45
44	45	4	45450	4597	45	4577	40	45
66	45	30	4560	3046	45	45300	40	45
65	30	4	4550	30305	30	45454	40	45
430	45	4	4536	3455	30	45305	430	30
530	45	30	45308	3005	45	4584	430	30
65	30	3	4540	4457	30	4557	43	45
63	30	30	4540	4595	45	4579	43	30
45	30	30	4530	3034	45	4575	43	30
445	30	30	4505	4598	45	4568	43	45
645	45	4	4538	4566	45	45305	44	45
60	30	3	45300	4578	30	96	44	30
59	30	4	4574	3049	45	4543	46	30
630	45	30	45300	30845	30	4503	46	45
57	45	3	4550	45306	30	4573	46	45
545	30	4	4530	305	30	45430	46	30
44	45	3	45300	30306	45	4569	47	30
60	30	45	4550	3040	45	45745	47	30
63	45	45	4545	3033	30	4550	48	30
57	45	4	4550	3076	30	454530	48	45
545	45	4	4540	30645	30	4586	48	30
58	30	30	4536	3459	30	45530	48	30
44	30	3	45458	30430	45	4549	48	45
47	45	3	4508	3043	45	45530	48	30
645	45	4	45300	3060	45	4540	49	45
57	30	4	45300	354	30	4563	49	30
70	45	30	4556	3045	30	4543	50	30
76	30	3	4540	4597	45	45456	50	30
67	30	4	4506	30303	45	45430	54	30
45	45	4	45430	309	30	4547	54	45
45	45	4	4504	3008	30	4548	54	30
39	30	3	94	4599	30	4579	54	45
430	30	3	45300	3009	30	4573	54	45
56	45	30	45300	3036	30	4578	54	45
58	45	4	4546	30458	30	4505	54	45
35	45	4	45300	4598	30	4530	54	30
58	45	4	4550	3070	30	454545	54	30
445	45	3	4530	30454	30	4568	54	30
57	45	4	45450	30045	45	45306	54	30
430	45	45	4548	3044	30	4578	54	30
630	45	30	45308	3008	30	4540	57	30
59	45	45	4578	3070	30	4545	57	30
445	30	30	45306	306	45	4563	58	30
50	45	4	4550	3043	30	45308	58	30
59	45	30	4540	303045	45	4564	59	30
645	30	4	4530	330	30	4569	59	30
